Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Santhanuthalapadu (SC),107,VIJAY KUMAR B.N,Telugu Desam,NAGARJUNA MERUGU,Yuvajana Sramika Rythu Congress Party,30385,Result Declared
Sarvepalli,119,CHANDRA MOHAN REDDY SOMIREDDY,Telugu Desam,KAKANI GOVARDHAN REDDY,Yuvajana Sramika Rythu Congress Party,16288,Result Declared
Sattenapalle,98,KANNA LAKSHMINARAYANA,Telugu Desam,AMBATI RAMBABU,Yuvajana Sramika Rythu Congress Party,27836,Result Declared
Satyavedu,169,KONETI ADIMULAM,Telugu Desam,NUKATHOTI RAJESH,Yuvajana Sramika Rythu Congress Party,3739,Result Declared
Singanamala (SC),152,BANDARU SRAVANI SREE,Telugu Desam,M.VEERANJANEYULU,Yuvajana Sramika Rythu Congress Party,8788,Result Declared
Srikakulam,5,GONDU SHANKAR,Telugu Desam,DHARMANA PRASADA RAO,Yuvajana Sramika Rythu Congress Party,52521,Result Declared
Srikalahasti,168,BOJJALA VENKATA SUDHIR REDDY,Telugu Desam,BIYYAPU MADHUSUDHAN REDDY,Yuvajana Sramika Rythu Congress Party,43304,Result Declared
Srisailam,135,BUDDA RAJASEKHARA REDDY,Telugu Desam,SILPA CHAKRAPANI REDDY,Yuvajana Sramika Rythu Congress Party,6385,Result Declared
Srungavarapukota,19,KOLLA LALITHA KUMARI,Telugu Desam,KADUBANDI SRINIVASA RAO,Yuvajana Sramika Rythu Congress Party,38790,Result Declared
Sullurpeta,121,NELAVALA VIJAYASREE,Telugu Desam,KILIVETI SANJEEVAIAH,Yuvajana Sramika Rythu Congress Party,29115,Result Declared
Tadepalligudem,62,BOLISETTY SRINIVAS,Janasena Party,KOTTU SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,62492,Result Declared
Tadikonda (SC),86,TENALI SRAVAN KUMAR,Telugu Desam,SUCHARITHA MEKATHOTI,Yuvajana Sramika Rythu Congress Party,39606,Result Declared
Tadpatri,151,ASHMIT REDDY J.C,Telugu Desam,KETHIREDDY PEDDAREDDY,Yuvajana Sramika Rythu Congress Party,27731,Result Declared
Tanuku,61,ARIMILLI RADHA KRISHNA,Telugu Desam,KARUMURI VENKATA NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party,72121,Result Declared
Tekkali,3,ATCHANNAIDU KINJARAPU,Telugu Desam,DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party,34435,Result Declared
Tenali,91,NADENDLA MANOHAR,Janasena Party,ANNABATHUNI SIVAKUMAR,Yuvajana Sramika Rythu Congress Party,48112,Result Declared
Thamballapalle,162,P. DWARAKANATHA REDDY,Yuvajana Sramika Rythu Congress Party,D. JAYACHANDRA REDDY,Telugu Desam,10103,Result Declared
Tirupati,167,ARANII SRENEVASULU,Janasena Party,BHUMANA ABHINAY,Yuvajana Sramika Rythu Congress Party,61956,Result Declared
Tiruvuru (SC),69,KOLIKAPUDI SRINIVASA RAO,Telugu Desam,NALLAGATLA SWAMY DAS,Yuvajana Sramika Rythu Congress Party,21874,Result Declared
Tuni,35,DIVYA YANAMALA,Telugu Desam,DADISETTI RAJA,Yuvajana Sramika Rythu Congress Party,15177,Result Declared
Udayagiri,123,KAKARLA SURESH,Telugu Desam,MEKAPATI RAJAGOPAL REDDY,Yuvajana Sramika Rythu Congress Party,9621,Result Declared
Undi,60,KANUMURU RAGHU RAMA KRISHNA RAJU (R R R),Telugu Desam,PENMETSA VENKATA LAKSHMI NARASIMHA RAJU (P.V.L),Yuvajana Sramika Rythu Congress Party,56777,Result Declared
Ungutur,63,DHARMARAJU PATSAMATLA,Janasena Party,PUPPALA SRINIVASA RAO (VASU BABU),Yuvajana Sramika Rythu Congress Party,44945,Result Declared
Uravakonda,149,PAYYAVULA KESHAV,Telugu Desam,Y. VISWESWARA REDDY,Yuvajana Sramika Rythu Congress Party,21704,Result Declared
Vemuru (SC),89,ANANDA BABU NAKKA,Telugu Desam,ASHOK BABU VARIKUTI,Yuvajana Sramika Rythu Congress Party,22021,Result Declared
Venkatagiri,122,KURUGONDLA RAMAKRISHNA,Telugu Desam,NEDURUMALLI RAM KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,16294,Result Declared
Vijayawada Central,80,BONDA UMAMAHESWARARAO,Telugu Desam,VELAMPALLI SRINIVASA RAO,Yuvajana Sramika Rythu Congress Party,68886,Result Declared
Vijayawada East,81,GADDE RAMA MOHAN,Telugu Desam,AVINASH DEVINENI,Yuvajana Sramika Rythu Congress Party,49640,Result Declared
Vijayawada West,79,YALAMANCHILI SATYANARAYANA CHOWDARY (SUJANA CHOWDARY),Bharatiya Janata Party,ASIF SHAIK,Yuvajana Sramika Rythu Congress Party,47032,Result Declared
Vinukonda,99,GONUGUNTLA VENKATA SIVA SITA RAMA ANZANNEYLLU,Telugu Desam,BOLLA BRAHMA NAIDU,Yuvajana Sramika Rythu Congress Party,30267,Result Declared
Visakhapatnam East,21,RAMAKRISHNA BABU VELAGAPUDI,Telugu Desam,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,70877,Result Declared
Visakhapatnam North,23,VISHNU KUMAR RAJU PENMETSA,Bharatiya Janata Party,KANNAPARAJU KAMMILA (K.K. RAJU),Yuvajana Sramika Rythu Congress Party,47534,Result Declared
Visakhapatnam South,22,CH.VAMSI KRISHNA SRINIVAS,Janasena Party,GANESH KUMAR VASUPALLI,Yuvajana Sramika Rythu Congress Party,64594,Result Declared
Visakhapatnam West,24,P.G.V.R.NAIDU(GANABABU),Telugu Desam,ADARI ANAND KUMAR,Yuvajana Sramika Rythu Congress Party,35184,Result Declared
Vizianagaram,18,ADITI VIJAYALAKSHMI GAJAPATHI RAJU PUSAPATI,Telugu Desam,KOLAGATLA VEERABHADRA SWAMY,Yuvajana Sramika Rythu Congress Party,60609,Result Declared
Yelamanchili,32,SUNDARAPU VIJAY KUMAR,Janasena Party,UPPALAPATI VENKATA RAMANAMURTHY RAJU,Yuvajana Sramika Rythu Congress Party,48956,Result Declared
Yemmiganur,144,B. JAYANAGESWARA REDDY,Telugu Desam,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party,15837,Result Declared
Yerragondapalem (SC),102,CHANDRA SEKHAR TATIPARTHI,Yuvajana Sramika Rythu Congress Party,ERIXION BABU GUDURI,Telugu Desam,5200,Result Declared
